source_id,physical_watch_id,class_label,provenance,split,factory,local_path,tilt_deg,n_ticks,pose_fitted,pose_theta_deg,pose_phi_deg,pose_psi_deg,pose_k,pose_scale,pose_score_px,amb_n_near_best,amb_n_total_candidates,amb_margin_px,amb_best_score_px,amb_worst_near_best_score_px,amb_max_marker_disagreement_px,amb_mean_marker_disagreement_px,amb_theta_lo,amb_theta_hi,amb_phi_lo,amb_phi_hi,amb_k_lo,amb_k_hi,marker_1_poselib_measured,marker_1_poselib_radial_pct_r,marker_1_poselib_angular_deg,marker_1_poselib_area_norm,marker_1_poselib_anisotropy,marker_2_poselib_measured,marker_2_poselib_radial_pct_r,marker_2_poselib_angular_deg,marker_2_poselib_area_norm,marker_2_poselib_anisotropy,marker_4_poselib_measured,marker_4_poselib_radial_pct_r,marker_4_poselib_angular_deg,marker_4_poselib_area_norm,marker_4_poselib_anisotropy,marker_5_poselib_measured,marker_5_poselib_radial_pct_r,marker_5_poselib_angular_deg,marker_5_poselib_area_norm,marker_5_poselib_anisotropy,marker_6_poselib_measured,marker_6_poselib_radial_pct_r,marker_6_poselib_angular_deg,marker_6_poselib_area_norm,marker_6_poselib_anisotropy,marker_7_poselib_measured,marker_7_poselib_radial_pct_r,marker_7_poselib_angular_deg,marker_7_poselib_area_norm,marker_7_poselib_anisotropy,marker_8_poselib_measured,marker_8_poselib_radial_pct_r,marker_8_poselib_angular_deg,marker_8_poselib_area_norm,marker_8_poselib_anisotropy,marker_9_poselib_measured,marker_9_poselib_radial_pct_r,marker_9_poselib_angular_deg,marker_9_poselib_area_norm,marker_9_poselib_anisotropy,marker_10_poselib_measured,marker_10_poselib_radial_pct_r,marker_10_poselib_angular_deg,marker_10_poselib_area_norm,marker_10_poselib_anisotropy,marker_11_poselib_measured,marker_11_poselib_radial_pct_r,marker_11_poselib_angular_deg,marker_11_poselib_area_norm,marker_11_poselib_anisotropy,marker_12_poselib_measured,marker_12_poselib_radial_pct_r,marker_12_poselib_angular_deg,marker_12_poselib_area_norm,marker_12_poselib_anisotropy
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_00.jpg,5.541468770645133,48,1,2.5523,104.7473,0.0269,0.13575,315.6166,0.54170,8,8,0.81255,0.54170,0.58630,0.56583,0.21395,1.45218,3.35606,104.74729,129.09324,0.13385,0.26850,1,0.167115,0.0823165,0.0186612,1.17169,1,0.0631641,0.00613691,0.0184558,1.1653,1,0.243906,0.0578689,0.0172259,1.09003,1,-0.424489,-0.0498473,0.0158021,1.00206,1,0.665334,0.130005,0.023843,6.60986,1,-0.604467,-0.0523628,0.0194373,1.32657,1,-0.725416,0.0994265,0.0182589,1.14183,1,0.398109,0.0275965,0.0233693,6.85221,1,0.156553,0.0759319,0.0173829,1.10577,1,1.50312,0.554518,0.0119215,1.45641,1,-0.391137,0.00806822,0.0325744,2.08491
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_02.jpg,20.730412452071786,47,1,21.2638,183.9846,0.2882,0.00011,366.6660,1.22293,8,8,1.83439,1.22293,2.12881,1.40651,0.86432,20.54211,21.36614,0.00019,359.99989,0.00000,0.00082,0,,,,,0,,,,,0,,,,,0,,,,,1,-3.85372,-1.43144,0.0176568,3.25854,1,-5.6685,-0.852774,0.0162672,1.27599,1,-2.71413,-1.64868,0.0147178,1.69405,1,-0.861775,-3.88105,0.0136392,18.4373,0,,,,,0,,,,,0,,,,
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_03.jpg,4.41799195334961,48,1,3.0148,245.7587,-2.4160,0.12707,323.6055,0.79347,8,8,1.19021,0.79347,0.83918,1.35197,0.55428,0.00000,3.01476,171.15506,261.57332,0.00022,1.10000,1,-7.76756,1.71021,0.0112595,1.25294,0,,,,,0,,,,,0,,,,,1,-5.14833,2.84424,0.0129915,3.31154,0,,,,,0,,,,,1,-3.25271,3.12339,0.0110455,4.65719,0,,,,,1,-7.83598,2.10779,0.0101695,1.25342,0,,,,
gen_wex_3KSuGhC,gen_wex_3KSuGhC,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_3KSuGhC/image_04.jpg,3.7493298864961964,48,1,2.9284,359.9994,2.3489,0.15357,459.4822,1.35200,8,8,2.02800,1.35200,1.73935,2.70856,0.72714,1.83594,5.71207,14.93837,359.99943,0.00000,0.22375,0,,,,,0,,,,,0,,,,,0,,,,,1,-4.99831,-2.47956,0.0128175,3.44895,0,,,,,0,,,,,1,-4.44634,-1.9159,0.0142013,3.58705,0,,,,,0,,,,,0,,,,
gen_wex_e99gXKb,gen_wex_e99gXKb,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_e99gXKb/image_00.jpg,6.877377609921287,48,1,1.3819,185.3590,1.4517,0.19109,307.3904,0.62500,8,8,0.93750,0.62500,1.21423,2.52553,0.49745,1.07439,8.37343,101.75258,282.01649,0.00000,0.28344,1,0.298455,0.0364691,0.0189836,1.08065,1,-0.0278655,-0.0331861,0.0191006,1.06658,1,-0.119849,0.0808947,0.0188096,1.20513,1,-0.131579,-0.201969,0.0200137,1.24898,0,,,,,1,-0.0766504,0.204857,0.017691,1.25205,1,-0.301471,0.12753,0.0187382,1.21343,1,1.1907,0.141995,0.0257034,5.385,1,0.116472,0.126537,0.0192975,1.03546,1,0.0360306,0.0786239,0.0194002,1.10968,1,-0.715829,-0.10381,0.0266735,1.92792
gen_wex_e99gXKb,gen_wex_e99gXKb,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_e99gXKb/image_01.jpg,12.09669212278482,48,1,11.6209,61.1168,0.2716,0.00043,296.1709,0.71574,8,8,1.07362,0.71574,0.77065,0.82326,0.33739,10.69370,11.93905,61.11679,248.76052,0.00000,0.00055,0,,,,,0,,,,,0,,,,,0,,,,,1,-5.36186,-3.55594,0.00885123,2.87621,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,
gen_wex_e99gXKb,gen_wex_e99gXKb,gen,gen_candidate,calibration,Rolex,gen/calibration/gen_wex_e99gXKb/image_02.jpg,8.61520267492932,48,1,8.5404,274.7337,-1.9953,0.00206,138.9492,0.30729,8,8,0.46094,0.30729,0.40041,0.40320,0.08400,6.58512,8.61518,91.69512,275.69681,0.00000,0.00206,1,0.101489,-3.28673,0.00917937,4.25302,1,-2.83572,-3.9068,0.0103778,18.4815,1,-2.0498,-3.0619,0.0113993,4.14545,1,-2.25577,-1.93984,0.0184529,4.0627,1,4.51407,-2.02479,0.015357,2.27009,1,-1.17975,-2.041,0.0145209,2.20297,0,,,,,1,5.93458,-2.7781,0.0108144,2.91277,1,-0.171783,-3.14349,0.00961879,3.61625,1,1.16957,-2.05792,0.0146065,3.46233,1,1.12397,-4.25387,0.0130685,2.66991
rep_vsf_sh7PSsh,rep_vsf_sh7PSsh,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_sh7PSsh/image_01.jpg,10.984749612018692,47,1,10.9128,5.3344,2.1267,0.00290,196.6120,0.71194,8,8,1.06791,0.71194,0.86749,0.35391,0.12104,10.89043,11.45085,0.00003,185.44748,0.00000,0.00290,0,,,,,1,-3.64616,-0.399201,0.0106717,2.96885,0,,,,,1,-2.80098,-4.00478,0.0100611,20.7414,1,5.64722,-3.17968,0.00968728,4.22213,0,,,,,1,-2.44156,-3.4958,0.012846,13.2969,1,7.31855,-2.97111,0.00816642,2.53508,0,,,,,0,,,,,0,,,,
rep_vsf_sh7PSsh,rep_vsf_sh7PSsh,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_sh7PSsh/image_04.jpg,4.509930446099395,48,1,6.1835,166.4372,-0.5341,0.00026,196.7197,0.64928,8,8,0.97392,0.64928,0.66745,0.16859,0.10457,5.24282,6.18517,160.48230,346.37358,0.00000,0.00347,1,-1.06285,0.273845,0.0164013,1.05679,1,-0.627152,0.546431,0.0163414,1.07577,1,0.464268,0.720196,0.0166011,1.14104,1,2.43605,2.66063,0.00813788,3.84767,1,1.10988,0.652145,0.0196742,8.29617,1,0.39642,0.428369,0.0188524,1.47901,0,,,,,1,1.06025,0.150823,0.0226331,6.3133,1,-0.321682,-0.164195,0.0170719,1.12261,1,-0.739174,-0.496159,0.0160304,1.08279,1,-1.1608,-0.124223,0.0241397,2.08795
rep_vsf_sh7PSsh,rep_vsf_sh7PSsh,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_sh7PSsh/image_05.jpg,6.767629849564249,42,1,6.9910,197.6254,0.2049,0.00000,106.1477,0.37464,8,8,0.56196,0.37464,0.43235,0.21529,0.06804,5.51185,6.99097,0.00030,201.86852,0.00000,0.00020,1,-0.662577,-0.42643,0.0161445,1.07019,1,-0.44215,0.0114954,0.016758,1.15067,1,0.642162,0.0798016,0.0160133,1.04868,1,2.21661,1.87582,0.00830909,3.52877,1,1.26021,-0.711116,0.0196913,8.06268,1,-0.262525,-0.550546,0.0164983,1.20147,1,0.558821,1.8461,0.00845176,3.52979,1,1.1353,-0.478727,0.0223078,6.92934,1,0.0436812,-0.388071,0.0168978,1.20326,1,0.11763,-2.79582,0.0089939,4.15749,1,-0.727068,-0.811242,0.0236889,2.08526
rep_vsf_GKJDidL,rep_vsf_GKJDidL,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_GKJDidL/image_00.jpg,4.818738180227867,48,1,2.9129,133.4242,0.4256,0.14940,288.0347,0.72994,8,8,1.09492,0.72994,0.93822,1.52142,0.33748,1.99445,6.79204,117.79502,172.68529,0.00039,0.32057,0,,,,,0,,,,,0,,,,,0,,,,,1,-5.03846,0.494627,0.0113422,4.20687,1,7.65071,0.0205611,0.0155196,2.00334,1,7.43844,0.014956,0.016096,1.86245,1,-5.91176,-0.439077,0.00986704,3.73354,0,,,,,0,,,,,0,,,,
rep_vsf_GKJDidL,rep_vsf_GKJDidL,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_GKJDidL/image_01.jpg,13.760837451950342,48,1,13.3091,328.8649,0.3388,0.05522,230.3475,0.50518,8,8,0.75777,0.50518,1.19518,1.58669,0.71794,12.88870,13.99540,144.71279,328.86489,0.00000,0.05522,1,2.34892,3.4595,0.00829482,6.30218,1,1.68786,0.855946,0.0145067,4.64471,0,,,,,1,-1.76115,4.05665,0.00951893,22.4057,0,,,,,1,1.70215,3.28377,0.00828911,4.00824,1,-2.93694,4.07813,0.00942191,21.1531,0,,,,,1,1.14578,3.23516,0.00870285,3.80673,1,-0.375186,2.9672,0.0137933,8.47824,1,2.89432,3.9363,0.0137676,2.2164
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_HCz9EAj/image_01.jpg,6.639655608291638,45,1,5.3584,339.8664,-2.0185,0.00589,188.3408,0.76412,8,8,1.14619,0.76412,0.84817,0.35011,0.14721,3.01394,5.41097,16.35445,359.99981,0.00000,0.00589,0,,,,,1,-7.96206,1.8449,0.0102665,1.11138,1,-6.99726,1.791,0.0115277,1.15982,1,-7.13462,1.30796,0.0118444,1.03549,1,-3.74464,0.160972,0.0122839,7.07553,1,-7.81061,-0.675714,0.0113308,1.2662,1,-7.88779,-0.656506,0.0117617,1.40417,1,-4.22276,-1.00792,0.0120299,5.79911,0,,,,,0,,,,,0,,,,
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_HCz9EAj/image_02.jpg,4.073038860829673,42,1,2.5120,299.4807,2.7483,0.31182,349.3346,1.50445,8,8,2.25667,1.50445,1.66383,2.03136,0.87529,2.50535,5.03507,0.00016,299.49352,0.00000,0.31261,0,,,,,0,,,,,0,,,,,0,,,,,1,-2.4143,-3.58872,0.00952749,3.81782,0,,,,,0,,,,,1,-2.4611,-3.00117,0.00973008,2.03965,0,,,,,0,,,,,0,,,,
rep_vsf_HCz9EAj,rep_vsf_HCz9EAj,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_HCz9EAj/image_07.jpg,3.9743620859786937,48,1,1.9119,133.6682,-0.8996,0.19926,301.1252,0.59535,8,8,0.89302,0.59535,0.86113,1.27526,0.31363,0.68629,3.38435,48.52996,189.28728,0.00016,0.52713,1,0.704536,0.41617,0.016621,1.06746,1,0.69916,0.389291,0.0166867,1.03256,1,1.42042,0.5984,0.0168607,1.15565,1,0.546269,0.430837,0.0194801,1.49583,1,1.06081,0.488299,0.019112,8.67777,1,0.0615315,0.272444,0.0199338,1.44541,1,0.11369,0.237527,0.0185813,1.35713,1,1.62138,0.342686,0.0176169,10.3437,1,0.342049,0.199493,0.0191663,1.22298,1,0.791647,0.406584,0.0181847,1.20177,1,0.67367,0.247524,0.0248588,2.07685
rep_vsf_oVwWMrC,rep_vsf_oVwWMrC,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_oVwWMrC/image_00.jpg,9.401118513871301,48,1,9.5564,346.8090,1.9181,0.00000,232.9213,0.63734,8,8,0.95601,0.63734,0.75264,0.59712,0.18826,8.57161,10.15314,166.79783,359.99991,0.00000,0.00144,1,0.223707,0.372831,0.0166952,1.08086,1,0.664184,0.272253,0.0175427,1.22258,1,0.640081,0.439869,0.0180106,1.30999,1,-0.0279211,0.629642,0.0175141,1.348,1,1.17933,0.74326,0.0183131,9.23617,1,0.179525,0.452853,0.0153056,1.05542,1,-0.24284,-0.284263,0.0157564,1.05927,1,0.799343,-0.383097,0.0193061,9.3436,1,-0.923901,-0.589686,0.0157707,1.06472,1,-0.893275,-0.321925,0.0168208,1.07541,0,,,,
rep_vsf_oVwWMrC,rep_vsf_oVwWMrC,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_oVwWMrC/image_01.jpg,8.876947273172693,48,1,9.8049,343.7844,2.1067,0.02330,227.9913,0.38128,8,8,0.57193,0.38128,0.90587,1.11896,0.41379,7.61895,10.06136,0.00009,345.69248,0.00000,0.02330,1,0.35718,0.527512,0.0165297,1.10775,1,0.975139,0.575479,0.0165497,1.10241,1,0.933584,0.642766,0.0161759,1.14021,1,-0.0244908,0.550565,0.0173743,1.29787,1,1.17487,0.588959,0.0180848,9.58166,1,0.156349,0.00499217,0.014501,1.40078,1,-0.135493,-0.344473,0.0156994,1.04329,1,0.801927,-0.417179,0.0194573,9.18718,1,-0.725254,-0.556117,0.015902,1.06167,1,-0.709551,-0.21093,0.0170633,1.07559,1,-0.186791,0.312637,0.0257433,2.08695
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_KfRKFwA/image_00.jpg,2.8113958257288134,44,1,2.9267,303.3881,1.0470,0.00009,225.7506,0.51482,8,8,0.77223,0.51482,0.54428,0.27326,0.10965,2.34046,2.92939,86.70798,303.41953,0.00000,0.00047,1,-0.174611,0.328277,0.0153399,1.07568,1,-0.126314,0.219666,0.015591,1.08664,0,,,,,1,-0.164391,0.238039,0.0148548,1.31138,1,0.83453,-0.0479229,0.0209011,8.03193,1,-0.117791,0.0350102,0.0156395,1.11378,1,0.229307,0.307498,0.0173886,1.49339,1,0.456818,0.13954,0.0203989,9.4236,1,-0.327469,0.31589,0.0162501,1.1351,1,-0.201984,0.245177,0.0158734,1.11461,1,-0.795337,-0.501994,0.02826,1.96884
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_KfRKFwA/image_03.jpg,2.8273547115737965,48,1,0.8798,169.9237,1.7057,0.45899,230.9203,0.41139,8,8,0.61708,0.41139,0.56180,0.88002,0.27068,0.68936,4.80029,30.15856,210.17478,0.00000,0.52996,1,0.330871,-0.0378324,0.0163157,1.27051,1,0.450907,-0.00331101,0.0171831,1.43478,0,,,,,1,-0.276113,0.572942,0.0146265,1.4327,1,0.786654,0.421778,0.0209582,8.23394,1,-0.139102,0.5496,0.0154283,1.12003,1,-0.394569,0.332298,0.0167723,1.43374,1,0.772115,0.221606,0.0196257,9.06449,1,-0.107427,0.213768,0.0170662,1.41349,1,0.390923,-0.279283,0.0156994,1.12838,1,-0.0102667,0.0635485,0.0263026,1.9976
rep_vsf_KfRKFwA,rep_vsf_KfRKFwA,rep,rep_labelled,calibration,VSF,rep/calibration/rep_vsf_KfRKFwA/image_08.jpg,5.385567141899849,44,1,1.2612,16.4977,0.8748,0.19706,217.1624,0.43112,8,8,0.64668,0.43112,0.53462,0.62926,0.24877,1.03657,5.22698,16.49766,359.99288,0.00000,0.28146,0,,,,,0,,,,,1,-3.53687,4.27088,0.00810935,22.5849,0,,,,,0,,,,,1,-3.26039,4.20037,0.00865435,22.5609,0,,,,,0,,,,,1,-0.227889,3.36416,0.0113537,11.1913,0,,,,,0,,,,
